"trees","mean","se","code"
50,908.714439325214,3.17840348388154,"FFF"
100,911.884048754158,1.19761967257551,"FFF"
150,913.079924459822,0.153082310202365,"FFF"
200,914.034840041602,0.0453150624106797,"FFF"
250,914.113869003406,2.18710583232428,"FFF"
50,989.942288750838,21.3919389033295,"FFT"
100,992.473920285562,7.1363338174304,"FFT"
150,987.287186505644,20.4647203704909,"FFT"
200,985.511200072242,16.2368914104194,"FFT"
250,992.584398292852,16.929258547343,"FFT"
50,972.706357311741,28.0640384933038,"FTF"
100,950.880102480347,30.0524725398875,"FTF"
150,949.917966254598,20.7205286798465,"FTF"
200,959.747541349847,41.098301116257,"FTF"
250,959.623981695156,39.6492037090833,"FTF"
50,934.602569219106,34.8443280273331,"FTT"
100,938.792852388476,21.8771051400504,"FTT"
150,940.811943156406,23.9036489594982,"FTT"
200,931.062369793598,32.3201049251339,"FTT"
250,930.442601457663,21.8516995472402,"FTT"
50,923.751126653771,0.814463263747257,"TFF"
100,912.192800190675,4.84484284573495,"TFF"
150,905.138965062996,3.87997194976691,"TFF"
200,904.889575908782,4.67236649942544,"TFF"
250,909.044721024982,1.10673178062154,"TFF"
50,975.871051075774,10.5539090586064,"TFT"
100,970.363263232529,11.8058542078076,"TFT"
150,973.764638870217,5.69745934847003,"TFT"
200,980.681109953115,9.46150119225814,"TFT"
250,985.029603188545,19.3422072846491,"TFT"
50,969.918429994579,25.4863182789871,"TTF"
100,951.081145720938,17.5836669968529,"TTF"
150,952.061828809328,23.5576655590261,"TTF"
200,955.761258800157,38.2782244007032,"TTF"
250,950.215651775654,24.5192129601411,"TTF"
50,950.712291347564,47.7687676690669,"TTT"
100,948.391662698214,16.5279957011306,"TTT"
150,932.73958963752,35.2619349101841,"TTT"
200,934.382773125299,26.6091636248823,"TTT"
250,929.123299883941,25.1752538561658,"TTT"
