"trees","train.mse","validate.mse","code"
250,713.634619035823,1018.51573700049,"TFF"
50,834.987336217096,1008.38850134706,"FFF"
100,830.641735778775,1007.75588565706,"FFF"
150,827.548411038783,1009.82658765387,"FFF"
200,829.990197667301,1007.98629589135,"FFF"
250,825.273253790401,1010.85993958693,"FFF"
50,358.360694103971,1020.35947717034,"TTT"
100,358.904859493273,1006.04285053366,"TTT"
150,346.167429262272,1014.30495886453,"TTT"
200,348.864826069,1008.56122652009,"TTT"
250,350.41256705567,1013.3658708103,"TTT"
50,368.106311908779,1005.7233308649,"FTT"
100,349.359877929051,1020.55349627551,"FTT"
150,359.115408789559,1010.06397660968,"FTT"
200,357.074506670846,1003.51317211596,"FTT"
250,350.940734037623,1005.32960091284,"FTT"
50,380.79016076405,1039.02305527668,"TFT"
100,364.817813155874,1043.84258043447,"TFT"
150,366.592157797016,1033.67707587058,"TFT"
200,363.588848040304,1036.63555120344,"TFT"
250,371.029033837944,1039.89034836517,"TFT"
50,384.564939814919,1054.38086915281,"FFT"
100,362.69616220249,1053.39717786971,"FFT"
150,375.523971876553,1054.00998471612,"FFT"
200,371.706946496221,1045.37264543134,"FFT"
250,368.733953226839,1040.3787925171,"FFT"
50,373.053258328259,1033.4348500663,"TTF"
100,366.747801810857,1031.93616879789,"TTF"
150,359.269504350356,1020.44118697636,"TTF"
200,355.402338805396,1021.48920525692,"TTF"
250,357.426939927736,1027.48357433039,"TTF"
50,368.099447907824,1046.44129040281,"FTF"
100,361.642562302707,1024.74151391427,"FTF"
150,350.227036825005,1019.80594310931,"FTF"
200,349.765662170908,1021.69881186174,"FTF"
250,354.98705266244,1019.84142921151,"FTF"
50,727.803112232159,991.363722412312,"TFF"
100,727.286262482213,983.470256776006,"TFF"
150,732.797109636496,986.303006611757,"TFF"
200,720.311383195391,993.538636794256,"TFF"
250,731.345538573367,987.254621274881,"TFF"
50,845.730751141888,976.589926956078,"FFF"
100,838.058868021484,979.943557620588,"FFF"
150,843.11193354926,981.740186202617,"FFF"
200,843.740699128941,979.027679101286,"FFF"
250,844.225253494028,981.034003625077,"FFF"
50,379.578537381969,1061.24706933503,"TTT"
100,365.8966845289,1064.54195570773,"TTT"
150,362.424961288173,1060.36065534915,"TTT"
200,362.788793802319,1077.67831874013,"TTT"
250,355.715572700149,1070.35074185746,"TTT"
50,373.329926081155,1054.31879958548,"FTT"
100,362.477994765238,1065.90747854677,"FTT"
150,359.704350249236,1061.75367303551,"FTT"
200,353.804981640589,1070.36291744859,"FTT"
250,356.60913314894,1065.89155986817,"FTT"
50,382.031846416292,1106.66298108298,"TFT"
100,375.731407959042,1095.30843352121,"TFT"
150,370.861819536723,1087.43510539705,"TFT"
200,379.160459036964,1082.0887494879,"TFT"
250,373.036555642605,1087.02287390145,"TFT"
50,394.931532230139,1105.55099605709,"FFT"
100,383.961445214929,1093.58991038372,"FFT"
150,379.237855981785,1097.74485629057,"FFT"
200,380.900621872788,1093.73453941949,"FFT"
250,379.330607362758,1093.72758080338,"FFT"
50,374.88795434161,1082.3139788163,"TTF"
100,364.238247190019,1073.80202671676,"TTF"
150,363.001500550675,1083.0730524186,"TTF"
200,363.846842167288,1077.44185083546,"TTF"
250,354.779328912314,1068.79194784944,"TTF"
50,383.124103365789,1085.56757475643,"FTF"
100,359.5751392367,1082.24849282868,"FTF"
150,351.606820992569,1078.64682164663,"FTF"
200,363.925840888486,1076.82906297318,"FTF"
250,360.523868688203,1076.16972651274,"FTF"
50,728.442873547891,1059.07927130551,"TFF"
100,743.799150161087,1048.70480858758,"TFF"
150,728.912400109682,1050.60403100955,"TFF"
200,727.858150254157,1049.44516576404,"TFF"
250,733.693339203919,1049.08623442215,"TFF"
50,850.231019913322,1040.80347424488,"FFF"
100,848.819949138693,1051.38742016597,"FFF"
150,849.945625128445,1046.23812666691,"FFF"
200,854.110040809676,1049.77284526641,"FFF"
250,851.258059750465,1046.92319846411,"FFF"
